classs,question
ENTY,ദിഹ്യൂമൻ' ഫാക്ടറിൽ അഭിനേതാക്കളും പ്രത്യക്ഷപ്പെടുന്ന സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
HUM,സിങ്കത്തിൻ്റെ സംവിധായകന് വേണ്ടി സിനിമകളിൽ അഭിനയിച്ചത്
NUM,കോറലൈൻ എഴുതിയ സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
ENTY,ട്രാൻസ്പോർട്ടർ 3യിലെ അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകളിലെ പ്രാഥമിക ഭാഷകൾ ഏതൊക്കെയാണ്
ENTY,ഹാപ്പി ക്രിസ്മസ് എന്ന ചിത്രത്തിലൂടെ സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
ENTY,എ വാക്ക് ഇൻ ദ ക്ലൗഡ്സ്' എന്ന തിരക്കഥാകൃത്തുക്കളും എഴുതിയ സിനിമകളുടെ വിഭാഗങ്ങൾ ഏതൊക്കെയാണ്
NUM,ഡോണി ബ്രാസ്‌കോ എന്ന സിനിമയ്‌ക്കൊപ്പം എഴുത്തുകാരെ പങ്കിടുന്ന സിനിമകൾ ഏത് വർഷത്തിലാണ് പുറത്തിറങ്ങിയത്
HUM,ഗ്രീൻ ഡ്രാഗണിൻ്റെ രചയിതാവ് എഴുതിയ സിനിമകൾ സംവിധാനം ചെയ്തത്
HUM,ലാസ്റ്റ് നൈറ്റ്' എന്ന തിരക്കഥാകൃത്ത് എഴുതിയ സിനിമകൾ സംവിധാനം ചെയ്തത് ആരാണ്
NUM,സേഫ് എന്ന ചിത്രവുമായി സംവിധായകരെ പങ്കിടുന്ന സിനിമകളുടെ റിലീസ് വർഷങ്ങൾ എന്തൊക്കെയായിരുന്നു
HUM,ദി സ്റ്റീൽ ഹെൽമെറ്റിൻ്റെ തിരക്കഥാകൃത്ത് എഴുതിയ സിനിമകളിലെ അഭിനേതാക്കൾ ആരൊക്കെയാണ്
ENTY,നിയമത്തിൻ്റെ പേരിൽ സംവിധായകർ സംവിധാനം ചെയ്ത സിനിമകളുടെ തരങ്ങൾ ഏതൊക്കെയാണ്
HUM,ബ്ലാക്ക് ഫ്രൈഡേയുടെ എഴുത്തുകാരൻ എഴുതിയ സിനിമകൾ സംവിധാനം ചെയ്തത്
HUM,ലിറ്റിൽ നിക്കിയുടെ രചയിതാവ് എഴുതിയ സിനിമകൾ സംവിധാനം ചെയ്തത് ആരാണ്
HUM,സോളോ അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകളുടെ സംവിധായകനായി പട്ടികപ്പെടുത്തിയത്
HUM,സിൻബാദിൻ്റെയും ഐ ഓഫ് ദ ടൈഗറിൻ്റെയും തിരക്കഥാകൃത്ത് എഴുതിയ സിനിമകൾ ആരാണ് അഭിനയിച്ചത്
HUM,അവരുടെ സിനിമകളിലെ അഭിനേതാക്കൾ ബേബീസ് കിഡ്‌സ് എന്ന സിനിമയിലും പ്രത്യക്ഷപ്പെടുന്ന സംവിധായകർ ആരാണ്
HUM,എ സീക്രട്ട് രചിച്ച എഴുത്തുകാരും സിനിമകളിൽ അഭിനയിച്ചവർ
ENTY,എനിക്ക് സ്വയം മോശമായതെല്ലാം ചെയ്യാൻ കഴിയും' എന്ന് രചയിതാക്കളും എഴുതിയ സിനിമകളുടെ വിഭാഗങ്ങൾ ഏതൊക്കെയാണ്
HUM,ടൂ ഫോർ ദ റോഡിൻ്റെ എഴുത്തുകാരൻ എഴുതിയ സിനിമകളുടെ സംവിധായകർ ആരൊക്കെയാണ്
ENTY,ടെർമിനേറ്റർ സാൽവേഷൻ എന്ന ചിത്രത്തിലൂടെ സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
ENTY,അൻ്റോണിയോ ദാസ് മോർട്ടെസ് എഴുത്തുകാർ എഴുതിയ സിനിമകൾ ഏതൊക്കെയാണ്
HUM,എ ഹോം അറ്റ് ദ എൻഡ് ഓഫ് ദ വേൾഡ്' എന്ന ചിത്രത്തിലൂടെ സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ എഴുതിയത്
NUM,മറ്റൊരു ഹാപ്പി ഡേയിൽ അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
HUM,സ്റ്റോമി വാട്ടേഴ്‌സ് അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകളുടെ തിരക്കഥാകൃത്തായി പട്ടികപ്പെടുത്തിയത്
HUM,ദി ജഡ്ജ് എഴുതിയ തിരക്കഥാകൃത്തുക്കളും സിനിമകളിൽ അഭിനയിച്ചവർ
ENTY,വാക്ക് ദ ലൈനിൽ അഭിനേതാക്കളും പ്രത്യക്ഷപ്പെടുന്ന സിനിമകളുടെ തരങ്ങൾ ഏതൊക്കെയാണ്
NUM,"കൗണ്ട് ത്രീ, പ്രേ എന്നിവയിലെ അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു"
NUM,ഡ്രഗ് വാർ എന്ന സിനിമയ്‌ക്കൊപ്പം സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ ഏത് വർഷത്തിലാണ് പുറത്തിറങ്ങിയത്
ENTY,ക്യാച്ച് മി ഇഫ് യു കാൻ എന്ന ചിത്രത്തിലൂടെ സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
HUM ,"റൈറ്റൺ ഓൺ ദി വിൻഡ്' എന്ന സിനിമയുടെ സംവിധായകന് വേണ്ടി സിനിമകളിൽ അഭിനയിച്ചത്,"
ENTY,ക്രീപ്‌ഷോ എന്ന സിനിമയ്‌ക്കൊപ്പം അഭിനേതാക്കളെ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
NUM,ഗ്രോൺ അപ്പ്സ് 2' എന്ന ചിത്രത്തിലൂടെ എഴുത്തുകാരെ പങ്കുവയ്ക്കുന്ന സിനിമകളുടെ റിലീസ് വർഷങ്ങൾ എന്തൊക്കെയായിരുന്നു
HUM,ദി ഇന്നർ സർക്കിൾ അഭിനേതാക്കളുടെ ചിത്രങ്ങളുടെ സംവിധായകനായി പട്ടികപ്പെടുത്തിയത്
ENTY,ഡാൻസ് ഓഫ് റിയാലിറ്റി' എന്ന ചിത്രത്തിലൂടെ സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
ENTY,സ്കാർലറ്റ് സ്ട്രീറ്റുമായി സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
HUM,ഷീയുടെ എഴുത്തുകാരൻ എഴുതിയ സിനിമകളുടെ സംവിധായകർ ആരാണ്
ENTY,വാക്‌സ് വർക്ക്‌സ് എന്ന സിനിമയ്‌ക്കൊപ്പം അഭിനേതാക്കളെ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
HUM,ദി ബ്രോക്കൺ സർക്കിൾ ബ്രേക്ക്ഡൗണിൻ്റെ രചയിതാവിന് വേണ്ടി സിനിമകൾ സംവിധാനം ചെയ്തത്
NUM,ജൂപ്പിറ്റർ ആരോഹണ അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
HUM ,"ബുക്കാനൻ റൈഡ്സ് എലോൺ എന്ന ചിത്രത്തിലൂടെ അഭിനേതാക്കളെ പങ്കുവയ്ക്കുന്ന സിനിമകൾ സംവിധാനം ചെയ്തത് ആരായിരുന്നു,"
NUM,സെൻഡ് മി നോ ഫ്‌ളവേഴ്‌സ് റൈറ്റേഴ്‌സ് എഴുതിയ സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
HUM,അവരുടെ സിനിമകളിലെ അഭിനേതാക്കൾ ദ ക്രിയേച്ചർ വാസ് നോട്ട് നൈസ് എന്ന സിനിമയിലും പ്രത്യക്ഷപ്പെടുന്ന എഴുത്തുകാർ ആരാണ്
NUM,സ്‌പെൻസേഴ്‌സ് മൗണ്ടൻ ആക്ടേഴ്‌സ് അഭിനയിച്ച സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
ENTY,ട്രോഗ് അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
HUM,അവരുടെ സിനിമകളുടെ സംവിധായകരും ദി എൻഡ് ഓഫ് ദി അഫയർ സംവിധാനം ചെയ്ത തിരക്കഥാകൃത്തുക്കൾ ആരാണ്
ENTY,ഹാർഡ് റെയ്‌നിലെ അഭിനേതാക്കളും അഭിനയിക്കുന്ന സിനിമകളിൽ സംസാരിക്കുന്ന ഭാഷകൾ ഏതൊക്കെയാണ്
ENTY,എക്‌സ്-ലേഡി' എന്ന് രചയിതാക്കളും എഴുതിയ സിനിമകളുടെ തരങ്ങൾ എന്തൊക്കെയാണ്
HUM,ഫ്ലിക്കറിംഗ് ലൈറ്റ്‌സിൻ്റെ സംവിധായകനുവേണ്ടി സിനിമകളിൽ അഭിനയിച്ചത്
ENTY,സ്കാർഫേസിൽ അഭിനേതാക്കളും പ്രത്യക്ഷപ്പെടുന്ന സിനിമകളുടെ തരങ്ങൾ ഏതൊക്കെയാണ്
ENTY,സ്‌ക്വിർമിനൊപ്പം സംവിധായകരെ പങ്കിടുന്ന സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
HUM,ദ സ്ലിംഗ്ഷോട്ടിലെ അഭിനേതാക്കൾ അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ആരാണ്
ENTY,ദ അൺസിങ്കബിൾ മോളി ബ്രൗൺ എന്ന ചിത്രത്തിലൂടെ എഴുത്തുകാരെ പങ്കുവയ്ക്കുന്ന സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
HUM,എ വെരി പോട്ടർ മ്യൂസിക്കൽ' രചിച്ച എഴുത്തുകാരുടെ സിനിമകളിൽ അഭിനയിച്ചവർ
NUM,വിൻ്റർ പാസിംഗ് എന്ന സിനിമയിൽ അഭിനേതാക്കളും പ്രത്യക്ഷപ്പെടുന്ന സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
HUM,പീപ്പിൾ ലൈക്ക് അസ്' എന്ന രചയിതാക്കളും എഴുതിയ സിനിമകളുടെ സംവിധായകർ ആരാണ്
HUM,Deathstalker II-ൻ്റെ എഴുത്തുകാരന് വേണ്ടി സിനിമകൾ സംവിധാനം ചെയ്തത്
HUM,ലയൺസ് ഫോർ ലാംബ്‌സ് എന്ന എഴുത്തുകാരൻ എഴുതിയ സിനിമകളിൽ അഭിനയിച്ചത് ആരായിരുന്നു
ENTY,സമ്മർ അവേഴ്‌സ് തിരക്കഥാകൃത്തുക്കളും എഴുതിയ സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
